der Tisch	der	Tisch	Tische	Noun	masculine	桌子	table	Der <b>Tisch</b> ist aus Holz.	這張桌子是木頭做的。			high		blue	Demo	
die Lampe	die	Lampe	Lampen	Noun	feminine	燈	lamp	Die <b>Lampe</b> ist sehr hell.	這盞燈很亮。			high		red	Demo	
das Fenster	das	Fenster	Fenster	Noun	neuter	窗戶	window	Das <b>Fenster</b> ist offen.	窗戶開著。			high		green	Demo	
die Bank	die	Bank	Banken	Noun	feminine	銀行；長椅	bank; bench	Ich gehe zur <b>Bank</b>.	我去銀行。			normal	die Bank 可指「銀行」或「長椅」，看語境。	red	Demo	
[V] lernen	[V]	lernen		Verb		學習	learn	Ich <b>lerne</b> Deutsch.	我學德語。	er lernt		high		verb	Demo	hat gelernt
[V] gehen	[V]	gehen		Verb		走；去	go	Ich <b>gehe</b> nach Hause.	我回家。	er geht		high	不規則：Perfekt 用 sein。	verb	Demo	ist gegangen
[Adj] schnell	[Adj]	schnell		Adjective		快的	fast	Das Auto ist sehr <b>schnell</b>.	這輛車很快。			normal		adj	Demo	
[Adv] heute	[Adv]	heute		Adverb		今天	today	<b>Heute</b> ist das Wetter schön.	今天天氣很好。			high		adv	Demo	
[Prep] mit	[Prep]	mit		Preposition		和；用；搭乘	with	Ich fahre <b>mit</b> dem Bus.	我搭公車。			high	mit + 第三格 (Dativ)。	prep	Demo	
[Phrase] Guten Morgen!	[Phrase]	Guten Morgen!		Phrase		早安！	Good morning!	<b>Guten Morgen!</b> Wie geht es Ihnen?	早安！您好嗎？			high		phrase	Demo	
